word,count
facebook,1204
said,1050
data,863
mr,623
us,515
new,495
cambridge,440
users,395
company,371
privacy,353
analytica,351
would,329
zuckerberg,316
people,302
percent,299
information,297
york,280
also,263
please,258
companies,251
think,244
times,241
like,239
one,238
could,225
trump,219
social,216
page,209
2018,202
president,201
last,195
facebooks,188
million,188
tell,183
used,181
media,175
email,168
week,168
interested,167
years,160
firm,158
feedback,157
political,157
personal,156
use,155
chief,154
billion,152
must,149
even,148
time,148
