word,count
said,2970
facebook,2082
new,1702
us,1496
mr,1373
data,1175
york,1067
percent,985
one,897
people,878
would,853
times,845
please,751
like,742
also,723
think,701
company,683
page,679
2018,658
last,640
users,579
could,579
tell,555
companies,529
years,522
two,510
trump,504
email,501
feedback,501
privacy,498
interested,497
president,471
social,462
first,461
time,454
must,453
information,453
youre,453
many,449
cambridge,448
year,447
view,439
zuckerberg,431
newsletter,426
pm,414
address,409
get,397
ms,396
week,393
even,390
