word,count
cambridge,1695
analytic,1603
rt,1598
elections,956
interfered,952
latvian,951
indigenous,951
increase,951
latvians,951
russians,951
tensions,951
gee,948
ilvestoomas,948
de,475
la,348
el,312
en,291
para,288
facebook,208
que,188
al,159
las,147
4,138
firma,138
eeuu,138
mentira,137
manipular,137
miedo,136
voto,136
slo,136
recurri,136
juliandezubiria,135
declara,135
data,132
ex,120
desmembramientos,117
revela,117
nigeria,117
decapitaciones,117
empleado,117
utilizaron,117
videos,117
atemo,115
sinembargomx,115
used,102
tictoc,82
christopher,81
categorically,80
wylie,80
untrue,79
