word,count
cambridge,302
la,280
el,280
rt,264
analytic,262
de,161
en,145
para,141
al,139
las,138
eeuu,138
mentira,137
4,137
manipular,137
recurri,136
miedo,136
voto,136
slo,136
firma,136
declara,135
juliandezubiria,135
facebook,38
elections,32
indigenous,28
latvian,28
increase,28
tensions,28
interfered,28
latvians,28
russians,28
controversy,27
ilvestoomas,26
gee,26
trump,25
agent,23
brt,22
also,22
analytics,22
clearly,21
faith,21
democratic,21
cambridg,21
process,21
longer,21
sabotaged,21
outside,21
johnleremainer,21
good,21
lies,20
brexit,20
